2021-09-01T12:34:56Z 192.168.1.1 A xkcd.com.googlecode.com.mynormalsubdomain1234567890abcdefghijklmnopqrstuvwxyz.example.com 192.0.2.1 2021
2021-09-01T12:35:04Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:06Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:08Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:10Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:12Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:14Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:16Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:18Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:20Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
2021-09-01T12:35:22Z 192.168.1.1 A google.com.googleapis.com.longsubdomain1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz1234567890abcdefghijklmnopqrstuvwxyz.example.com 172.217.0.1 20
